TotalSF,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,OverallCond,ExterQual_num,KitchenQual_num,HouseAge,YearsSinceRemodel,TotalBath,GarageCars,GarageArea,Fireplaces,HasBasement,HasGarage,LotArea,SalePrice
2844,1472,1472,1372,7,5,3,3,44,44,3.0,2,588,2,1,1,14115,187500
3845,2596,1249,1249,9,5,3,4,18,18,3.5,3,840,0,1,1,16259,342643
3604,2468,1136,1136,8,5,4,4,20,20,3.5,3,872,1,1,1,12099,354000
4232,2730,1553,1502,7,5,4,4,38,37,3.5,2,576,1,1,1,10380,301000
2325,1163,1163,1162,3,8,3,3,69,19,2.0,1,220,0,1,1,5820,126175
3688,2978,1898,710,7,7,4,4,57,17,2.5,2,564,1,1,1,11275,242000
1523,803,803,720,5,6,3,3,83,74,1.0,2,360,0,1,1,5000,87000
3438,1719,1719,1719,8,5,4,4,31,31,3.5,2,473,2,1,1,10846,324000
2766,1383,1383,1383,6,5,3,3,64,64,1.5,1,292,0,1,1,11600,145250
2978,2134,1445,844,6,6,3,4,108,30,2.0,2,441,0,1,1,11888,214500
1788,1192,596,596,5,5,3,3,104,74,1.0,1,189,0,1,1,6402,78000
3456,1728,1728,1728,5,4,3,3,60,60,2.5,1,352,0,1,1,10624,119000
2112,1056,1056,1056,5,6,3,3,66,32,2.0,1,308,0,1,1,8176,139000
4835,1629,1629,3206,8,5,4,4,21,20,3.0,3,880,1,1,1,10655,284000
2716,1358,1358,1358,7,5,4,4,20,20,3.0,2,484,1,1,1,8198,207000
2581,1638,943,943,6,5,3,3,26,26,3.5,2,472,2,1,1,9042,192000
3285,1786,1619,1499,5,6,3,3,59,59,4.0,2,529,2,1,1,164660,228950
3844,1922,1922,1922,9,5,4,4,19,18,3.0,3,676,1,1,1,14157,377426
3072,1536,1536,1536,7,5,4,4,22,21,3.0,2,532,0,1,1,9135,214000
2829,1621,1621,1208,7,7,4,4,40,26,3.0,2,440,0,1,1,14145,202500
2430,1215,1215,1215,6,7,3,3,66,26,1.0,1,297,0,1,1,12400,155000
2875,1908,993,967,8,5,4,4,22,22,2.5,2,431,0,1,1,14191,202900
1562,841,841,721,4,4,2,3,74,74,1.0,1,294,0,1,1,8400,82000
1040,1040,1040,0,3,4,3,3,75,74,2.0,2,400,0,0,1,8544,87500
3368,1684,1684,1684,9,5,5,5,19,19,2.0,2,564,1,1,1,8849,266000
1648,1112,536,536,5,3,3,3,48,48,1.5,1,336,0,1,1,2592,85000
2549,1577,972,972,6,5,3,2,85,74,1.0,1,312,1,1,1,6435,140200
1916,958,958,958,6,8,3,3,64,26,1.0,1,301,0,1,1,12772,151500
2956,1478,1478,1478,6,5,3,3,64,64,3.0,2,498,2,1,1,17600,157500
2390,1626,764,764,7,5,4,4,21,20,3.5,2,474,0,1,1,2448,154000
4576,2728,1848,1848,9,5,5,5,19,18,3.5,3,706,2,1,1,20431,437154
3738,1869,1869,1869,9,5,5,5,17,17,2.0,2,617,1,1,1,7820,318061
2906,1453,1453,1453,7,5,3,4,38,38,2.5,2,445,1,1,1,5271,190000
1727,1111,616,616,5,6,3,3,83,74,1.5,1,200,0,1,1,9084,95000
1344,720,720,624,6,8,3,3,96,21,1.0,2,484,0,1,1,8520,105900
2535,1595,1192,940,6,5,3,3,84,24,1.0,1,240,2,1,1,8400,140000
2400,1200,1200,1200,6,5,4,4,29,29,3.0,2,521,0,1,1,11249,177500
2325,1167,1167,1158,6,6,3,4,32,32,3.0,2,400,0,1,1,9248,173000
2284,1142,1142,1142,5,5,3,3,48,48,2.5,2,528,1,1,1,4224,134000
2414,1352,1352,1062,5,4,3,4,66,66,1.5,1,288,0,1,1,6930,130000
3010,1924,1086,1086,8,5,4,4,26,26,3.5,2,592,1,1,1,12011,280000
1800,912,912,888,6,6,3,3,46,46,2.0,2,470,1,1,1,7540,156000
2388,1505,988,883,5,5,3,3,84,42,2.0,1,240,0,1,1,9144,145000
1922,1922,495,0,7,5,4,4,21,21,3.0,2,672,1,0,1,7301,198500
1470,987,483,483,6,8,3,4,52,17,1.5,1,264,0,1,1,1680,118000
2370,1574,790,796,6,5,3,3,48,48,3.5,2,566,1,1,1,18800,190000
2016,1344,672,672,5,7,3,3,104,27,1.0,1,468,0,1,1,10690,147000
2788,1394,1394,1394,6,5,3,3,61,61,2.5,2,514,2,1,1,9500,159000
2530,1431,1431,1099,6,5,3,3,62,62,1.5,1,296,1,1,1,9150,165000
2536,1268,1268,1268,5,6,3,3,70,70,1.0,1,244,1,1,1,7800,132000
2350,1287,1287,1063,5,7,3,4,65,18,2.0,2,576,1,1,1,9830,162000
2617,1664,953,953,6,5,3,3,24,24,2.5,2,460,1,1,1,8121,172400
1588,1588,1120,0,4,4,3,3,65,65,2.0,2,680,1,0,1,17120,134432
1496,752,752,744,6,5,3,3,40,40,2.0,1,264,0,1,1,7175,125000
1927,1319,1319,608,5,6,3,3,71,71,2.0,1,270,0,1,1,10634,123000
2775,1928,847,847,7,5,4,4,21,20,2.5,2,434,1,1,1,8200,219500
1587,904,904,683,1,1,2,2,102,74,1.5,0,0,0,1,0,10020,61000
1784,914,914,870,5,5,4,3,28,28,1.0,2,576,0,1,1,8846,148000
4046,2466,1580,1580,8,5,4,4,20,19,3.0,2,610,1,1,1,11143,340000
3712,1856,1856,1856,9,2,4,5,14,14,2.5,3,834,1,1,1,11394,394432
2782,1800,1007,982,6,5,3,3,24,24,2.5,2,463,1,1,1,8123,179000
2717,1691,1026,1026,5,6,3,4,100,74,2.0,1,308,1,1,1,5000,127000
2594,1301,1301,1293,7,5,4,4,18,18,3.0,2,572,1,1,1,7200,187750
2736,1797,939,939,7,5,4,4,18,18,2.5,2,639,0,1,1,9245,213500
1568,784,784,784,6,3,3,3,96,74,1.0,2,360,0,1,1,9000,76000
3533,1953,1079,1580,6,5,4,4,32,32,3.5,2,501,2,1,1,53107,240000
2525,1269,1269,1256,8,5,4,4,20,19,2.0,2,430,1,1,1,3182,192000
1842,1184,658,658,5,3,3,3,114,28,1.0,0,0,0,1,0,8410,81000
2166,1125,1125,1041,6,6,3,3,48,48,2.0,1,352,1,1,1,7200,125000
2947,1479,1479,1468,7,5,4,4,25,24,2.0,2,577,0,1,1,9382,191000
4014,2332,1742,1682,10,5,5,5,17,16,3.5,3,846,1,1,1,12474,426000
2228,1367,961,861,5,8,3,3,124,74,2.0,1,384,0,1,1,8405,119000
2765,1961,804,804,6,5,3,4,23,22,3.5,2,560,1,1,1,12209,215000
882,882,882,0,5,7,3,3,65,65,1.0,1,294,0,0,1,8339,106500
1576,788,788,788,4,5,3,3,83,74,1.0,0,0,2,1,0,7446,100000
1769,1034,735,735,5,6,3,3,84,74,1.0,1,240,0,1,1,10134,109000
2288,1144,1144,1144,5,6,3,3,68,68,2.0,1,596,0,1,1,9571,129000
1788,894,894,894,5,5,3,3,52,52,1.0,2,600,0,1,1,7200,123000
2676,1812,876,864,5,5,3,3,62,62,2.0,1,264,1,1,1,7590,169500
2038,1077,1077,961,5,2,3,3,104,74,1.0,1,338,0,1,1,8967,67000
2642,1550,1112,1092,7,5,4,4,18,17,3.0,2,438,0,1,1,8125,241000
2548,1288,1288,1260,8,5,4,5,28,28,2.5,2,500,2,1,1,14963,245500
2620,1310,1310,1310,7,5,4,4,19,19,2.0,2,400,1,1,1,8767,164990
1344,672,672,672,5,8,3,3,84,27,1.0,1,240,0,1,1,10200,108000
3404,2263,1165,1141,8,5,4,4,26,26,2.5,2,420,1,1,1,12090,258000
2378,1572,806,806,6,5,3,3,29,28,2.5,2,373,1,1,1,10364,168000
2901,1620,1620,1281,4,4,3,3,48,31,3.0,2,490,1,1,1,9991,150000
2230,1639,1166,1064,6,5,3,3,88,74,1.0,1,240,0,1,1,10480,115000
2520,1680,840,840,6,7,3,3,109,48,2.0,1,308,0,1,1,15576,177000
3235,2172,1071,1063,7,5,4,4,18,18,2.5,3,947,1,1,1,14154,280000
3112,2078,1050,1034,8,5,4,5,17,16,3.5,3,836,1,1,1,10800,339750
2552,1276,1276,1276,5,3,3,3,66,66,1.0,1,350,0,1,1,9571,60000
2112,1056,1056,1056,5,5,3,3,69,69,2.0,2,572,0,1,1,34650,145000
2948,1478,1478,1470,7,5,5,4,15,15,3.5,2,484,1,1,1,4403,222000
2036,1028,1028,1008,5,6,3,3,97,74,1.0,2,360,1,1,1,8960,115000
3177,2097,1080,1080,7,5,4,4,31,31,3.0,3,678,1,1,1,11228,228000
2680,1340,1340,1340,7,5,4,4,17,17,2.0,2,396,0,1,1,8899,181134
2072,1400,672,672,6,7,3,3,46,46,1.5,2,440,1,1,1,7844,149500
3994,2624,1370,1370,6,6,3,3,106,74,3.5,3,864,1,1,1,22420,239000
1890,1134,756,756,5,6,3,3,84,74,2.5,1,240,0,1,1,8160,126000
2112,1056,1056,1056,5,6,3,3,56,56,2.0,1,304,1,1,1,8450,142000
2688,1344,1344,1344,7,5,3,3,27,26,4.0,4,784,0,1,1,7060,206300
3204,1602,1602,1602,6,7,4,4,47,24,2.5,2,529,1,1,1,16635,215000
1976,988,988,988,5,5,3,3,70,70,1.0,2,520,0,1,1,21750,113000
4100,2630,1470,1470,8,5,4,4,26,26,3.5,3,696,1,1,1,9200,315000
2392,1196,1196,1196,6,5,3,3,68,68,2.0,1,297,1,1,1,9000,139000
2040,1389,707,651,7,8,3,3,78,32,1.5,1,240,2,1,1,3378,135000
3162,1644,1644,1518,7,5,4,4,35,35,3.5,2,569,1,1,1,12800,275000
1814,907,907,907,4,6,3,3,67,67,1.0,1,352,0,1,1,8593,109008
2416,1208,1208,1208,7,5,4,4,17,17,3.0,2,628,0,1,1,6762,195400
2804,1412,1412,1392,6,5,3,4,36,36,3.0,2,576,1,1,1,11457,175000
1470,987,483,483,6,5,3,3,53,53,1.5,1,264,0,1,1,1680,85400
2099,1198,1088,901,6,7,3,3,104,26,1.0,0,0,0,1,0,5586,79900
2130,1365,765,765,5,5,3,3,53,53,2.5,2,440,0,1,1,1920,122500
2530,1604,926,926,6,5,3,3,27,26,2.5,2,470,1,1,1,10839,181000
1260,630,630,630,4,7,3,3,52,52,2.0,0,0,0,1,0,1890,81000
2460,1661,827,799,7,6,4,4,28,28,3.5,2,550,1,1,1,10667,212000
1766,1118,734,648,6,8,3,3,104,74,1.0,2,440,0,1,1,4400,116000
1788,904,904,884,6,7,4,3,98,20,1.0,1,180,0,1,1,6000,119000
1134,694,694,440,5,6,3,4,111,22,1.0,1,352,1,1,1,4280,90350
1880,1196,684,684,6,8,3,4,104,24,1.0,2,528,0,1,1,12354,110000
5496,2402,2402,3094,10,5,5,5,16,16,3.0,3,672,2,1,1,15431,555000
2880,1440,1440,1440,4,4,3,2,69,69,2.0,0,0,0,1,0,12108,118000
2651,1573,1128,1078,5,7,3,3,94,32,2.0,2,360,1,1,1,6240,162900
2516,1258,1258,1258,7,5,4,4,18,17,2.0,3,648,1,1,1,3922,172500
2823,1908,933,915,7,5,4,4,30,29,3.5,2,493,1,1,1,8750,210000
3125,1689,1689,1436,6,5,3,3,68,68,1.0,2,480,1,1,1,9855,127500
3405,1888,1888,1517,6,6,4,4,58,22,2.5,2,578,1,1,1,16492,190000
2816,1886,956,930,7,5,4,4,26,25,2.5,2,431,1,1,1,11214,199900
2156,1376,780,780,6,6,3,3,87,74,2.0,1,198,1,1,1,8600,119500
1832,1183,679,649,3,7,3,3,76,22,1.5,1,308,0,1,1,6000,120000
1626,813,813,813,6,8,3,4,94,19,1.0,1,270,0,1,1,5684,110000
3066,1533,1533,1533,7,5,3,4,49,49,3.0,2,576,2,1,1,70761,280000
2628,1756,888,872,6,5,4,3,28,27,3.5,2,422,0,1,1,9303,204000
2358,1590,786,768,8,5,4,4,16,16,2.5,2,676,0,1,1,9000,210000
3456,1728,1728,1728,5,5,3,3,48,48,4.0,2,560,0,1,1,9297,188000
2484,1242,1242,1242,7,6,3,3,51,51,1.5,2,528,1,1,1,9600,175500
1968,1344,624,624,5,5,3,3,108,74,1.0,3,513,0,1,1,4571,98000
3027,1663,1663,1364,4,6,3,4,70,30,2.0,2,529,2,1,1,53227,256000
2254,1666,833,588,8,7,3,4,99,28,1.0,1,228,1,1,1,5100,161000
1912,1203,979,709,5,4,3,4,74,74,2.0,1,352,1,1,1,7015,110000
2767,1935,832,832,8,5,4,3,15,15,3.5,2,552,0,1,1,8004,263435
1695,1135,575,560,7,9,4,4,88,17,2.0,2,576,0,1,1,7200,155000
1728,864,864,864,5,5,3,3,59,59,1.0,1,360,1,1,1,8281,62383
2375,1660,849,715,6,7,3,3,90,29,1.5,1,240,1,1,1,11988,188700
2080,1040,1040,1040,5,5,3,3,46,46,2.0,0,0,0,1,0,8430,124000
2789,1414,1414,1375,7,5,4,4,20,20,2.0,2,398,1,1,1,3072,178740
2554,1277,1277,1277,7,5,3,3,54,54,2.0,2,526,1,1,1,10628,167000
2372,1644,888,728,5,7,3,4,82,29,1.5,1,312,2,1,1,9480,146500
3260,1634,1634,1626,8,5,4,4,18,18,2.0,3,866,1,1,1,11428,250000
2542,1710,832,832,6,5,4,4,31,31,2.5,2,506,0,1,1,9291,187000
2990,1502,1502,1488,8,5,4,4,39,39,2.5,2,528,0,1,1,6820,212000
2777,1969,1161,808,7,6,3,3,47,47,2.5,2,534,1,1,1,11952,190000
1619,1072,1072,547,6,5,3,3,19,19,2.0,2,525,0,1,1,3675,148000
3952,1976,1976,1976,8,5,4,4,18,17,3.0,3,908,1,1,1,14977,440000
3146,1652,1652,1494,8,5,4,5,24,24,3.0,2,499,0,1,1,5330,251000
1940,970,970,970,5,6,3,3,61,61,2.0,2,624,0,1,1,8480,132500
2971,1493,1493,1478,6,5,3,4,27,26,3.0,2,508,1,1,1,13125,208900
4796,2643,2069,2153,9,5,5,5,18,18,2.5,3,694,1,1,1,13693,380000
3423,1718,1718,1705,8,5,4,4,17,16,3.0,3,826,1,1,1,10637,297000
2038,1131,1131,907,4,7,3,3,87,24,1.0,2,672,0,1,1,5925,89471
3683,1850,1850,1833,9,5,4,4,20,19,3.0,3,772,1,1,1,16033,326000
3584,1792,1792,1792,9,5,4,5,21,20,3.0,3,874,1,1,1,11846,374000
2736,1826,916,910,7,8,4,5,109,19,2.5,1,164,1,1,1,2500,155000
2432,1216,1216,1216,6,5,3,3,26,26,3.0,2,402,0,1,1,4500,164000
1998,999,999,999,5,7,3,4,62,23,2.0,1,264,0,1,1,7758,132500
2226,1113,1113,1113,5,7,4,4,74,17,1.0,1,264,1,1,1,9600,147000
2146,1073,1073,1073,5,7,3,3,59,59,2.5,2,515,0,1,1,10289,156000
2968,1484,1484,1484,5,6,3,3,53,53,2.0,2,487,1,1,1,12243,175000
3368,2414,1766,954,5,4,3,3,124,54,2.0,2,520,1,1,1,10800,160000
1260,630,630,630,4,8,3,4,54,22,2.0,1,286,0,1,1,1526,86000
1568,1304,616,264,5,6,3,3,48,48,1.5,1,336,1,1,1,2665,115000
2384,1578,958,806,6,7,3,2,83,74,2.0,1,240,2,1,1,9490,133000
2184,1456,728,728,6,5,4,3,18,18,2.5,2,429,0,1,1,15578,172785
2538,1269,1269,1269,5,6,3,3,64,64,1.5,1,308,1,1,1,7931,155000
1076,886,886,190,5,8,3,3,86,28,1.0,1,273,0,1,1,5784,91300
1440,720,720,720,4,5,3,3,104,74,1.0,0,0,0,1,0,7879,34900
6428,3228,3228,3200,8,5,4,4,32,31,4.0,2,546,1,1,1,12692,430000
2846,1820,1133,1026,7,6,3,3,99,74,3.0,1,240,0,1,1,9120,184000
1763,899,899,864,5,7,3,4,57,20,1.0,1,288,0,1,1,7800,130000
1824,912,912,912,5,7,3,3,66,39,1.5,1,297,0,1,1,7535,120000
1890,1218,672,672,6,5,3,3,51,51,1.5,1,264,0,1,1,1890,113000
2634,1768,866,866,7,5,4,4,19,19,2.5,2,603,0,1,1,9803,226700
2428,1214,1214,1214,5,7,3,3,59,59,2.0,2,461,0,1,1,9170,140000
3302,1801,1801,1501,7,8,3,3,65,27,3.0,2,484,2,1,1,15602,289000
2177,1322,855,855,6,5,3,3,50,50,3.0,2,440,1,1,1,2308,147000
2920,1960,960,960,5,5,3,3,72,72,2.0,2,400,0,1,1,7596,124500
2688,1911,1065,777,8,5,4,4,31,30,2.5,2,471,1,1,1,9554,215000
2436,1218,1218,1218,6,5,4,4,15,15,2.0,2,676,0,1,1,7862,208300
2067,1378,689,689,7,9,3,4,96,19,2.0,2,360,1,1,1,9600,161000
2082,1041,1041,1041,5,6,3,3,65,65,2.0,1,270,0,1,1,9600,124500
2371,1363,1363,1008,5,7,4,3,73,24,2.0,1,288,2,1,1,14559,164900
2736,1368,1368,1368,7,5,4,4,19,18,2.0,2,474,1,1,1,6792,202665
1728,864,864,864,5,5,3,3,66,66,2.0,2,624,0,1,1,9100,129900
2164,1080,1080,1084,6,5,3,3,41,41,1.5,2,484,0,1,1,9187,134000
1557,789,789,768,5,5,3,3,98,74,1.0,1,200,0,1,1,10594,96500
4026,2020,2020,2006,10,5,5,5,15,15,3.5,3,900,1,1,1,12220,402861
2808,2119,1378,689,6,6,3,3,52,52,2.5,2,583,1,1,1,10448,158000
3608,2344,1277,1264,7,5,4,4,28,27,2.5,3,889,1,1,1,10208,265000
2590,1796,882,794,6,5,3,3,26,26,3.5,2,546,0,1,1,9531,211000
3356,2080,1276,1276,7,9,4,4,98,20,1.5,1,282,2,1,1,10918,234000
1294,1294,694,0,4,7,3,3,124,24,2.0,0,0,0,0,0,10800,106250
2488,1244,1244,1244,6,6,3,3,67,67,1.5,1,336,2,1,1,11988,150000
2668,1664,1004,1004,6,7,3,3,77,74,2.0,2,420,2,1,1,5000,159000
7814,4676,3138,3138,10,5,5,5,17,16,4.5,3,884,1,1,1,40094,184750
3777,2398,1383,1379,7,5,4,4,28,27,3.5,3,834,1,1,1,11787,315750
2523,1266,1266,1257,7,5,4,4,19,19,2.0,2,453,1,1,1,7500,176000
1856,928,928,928,5,7,3,3,68,24,1.0,1,252,0,1,1,13300,132000
4165,2713,1476,1452,9,5,5,5,16,16,3.5,3,858,1,1,1,14948,446261
1133,605,605,528,4,7,3,3,104,22,2.0,0,0,0,1,0,9098,86000
4550,2515,2515,2035,6,3,4,3,67,49,4.0,2,484,2,1,1,32668,200624
2970,1509,1509,1461,6,5,4,4,36,35,3.0,2,600,1,1,1,10200,175000
1973,1362,751,611,6,8,3,3,104,25,2.0,2,502,0,1,1,6155,128000
827,827,827,0,5,7,3,3,69,17,1.0,1,392,1,0,1,7200,107500
334,334,334,0,1,3,2,2,78,74,1.0,0,0,0,0,0,5000,39300
2121,1414,707,707,8,5,4,4,20,20,2.5,2,403,1,1,1,9056,178000
2464,1347,820,1117,5,7,3,3,114,33,2.0,0,0,0,1,0,7000,107500
2604,1724,880,880,7,5,3,4,26,25,2.5,2,527,0,1,1,8924,188000
1728,864,864,864,4,5,3,3,52,52,1.0,2,576,0,1,1,12735,111250
2210,1159,1159,1051,5,5,3,3,56,56,1.5,1,336,1,1,1,11553,158000
3182,1601,1601,1581,8,5,4,4,23,22,3.0,2,670,1,1,1,11423,272000
3676,1838,1838,1838,9,5,5,5,18,18,3.0,3,765,1,1,1,14601,315000
3254,2285,997,969,8,5,4,4,24,24,2.5,3,648,1,1,1,11000,248000
3330,1680,1680,1650,7,5,4,4,26,25,3.0,2,583,1,1,1,10140,213250
1490,767,767,723,7,5,3,3,26,26,2.0,1,367,0,1,1,4058,133000
2150,1496,664,654,7,5,4,4,18,18,3.5,2,426,1,1,1,17104,179665
3387,2183,1377,1204,7,5,4,4,36,36,2.5,3,786,0,1,1,13837,229000
2700,1635,915,1065,6,7,3,3,101,74,1.5,2,440,1,1,1,8737,210000
1536,768,768,768,5,7,3,3,54,54,2.0,2,624,0,1,1,7244,129500
1650,825,825,825,5,7,3,3,69,29,2.0,2,720,0,1,1,8235,125000
3006,2094,912,912,7,5,4,4,21,20,2.5,2,615,1,1,1,9375,263000
2138,1069,1069,1069,6,6,3,3,47,47,2.0,2,440,0,1,1,4043,140000
1856,928,928,928,5,6,3,3,67,67,1.0,1,288,0,1,1,6000,112500
3426,1717,1717,1709,8,5,4,4,18,18,2.0,3,908,1,1,1,11146,255500
1126,1126,1126,0,4,5,3,4,75,21,2.0,2,520,0,0,1,8777,108000
3044,2046,1006,998,7,5,4,4,21,20,3.5,3,871,1,1,1,10625,284000
2041,1048,1048,993,5,6,3,3,102,74,1.0,1,280,1,1,1,6380,113000
2184,1092,1092,1092,5,5,3,3,67,67,2.0,1,299,1,1,1,14850,141000
1973,1336,897,637,4,6,3,3,104,74,1.5,1,570,0,1,1,11040,108000
2175,1446,729,729,7,5,3,3,28,27,3.0,2,406,1,1,1,21872,175000
2931,1557,1557,1374,7,5,4,4,21,20,2.0,2,420,1,1,1,3196,234000
2784,1392,1392,1392,5,6,3,3,67,28,2.5,2,528,1,1,1,11341,121500
2778,1389,1389,1389,5,5,3,3,50,49,2.0,2,418,1,1,1,10010,170000
1992,996,996,996,5,6,3,3,84,55,2.0,0,0,1,1,0,13907,108000
2837,1674,1163,1163,6,7,3,3,106,74,2.0,2,396,1,1,1,21780,185000
3390,2295,1166,1095,7,5,4,4,32,24,3.5,2,590,1,1,1,13346,268000
2453,1647,841,806,6,4,3,2,109,74,2.5,1,216,0,1,1,6858,128000
3626,2504,1134,1122,9,5,4,5,19,17,2.5,3,656,1,1,1,11198,325000
3052,1535,1535,1517,7,5,4,4,20,20,2.0,2,532,0,1,1,10171,214000
3628,2132,1496,1496,8,8,4,4,41,15,2.5,2,612,1,1,1,12327,316600
1886,943,943,943,5,5,3,3,45,45,2.0,2,600,2,1,1,7032,135960
3456,1728,1728,1728,5,5,3,3,59,59,2.0,2,576,0,1,1,13101,142600
1728,864,864,864,6,6,3,4,65,65,2.0,1,288,0,1,1,7332,120000
2538,1692,846,846,7,5,3,4,15,15,2.5,2,650,0,1,1,13159,224500
1814,1430,774,384,7,5,3,3,24,24,2.5,2,400,1,1,1,9967,170000
1481,1109,576,372,5,7,3,3,53,19,1.5,1,288,0,1,1,10500,139000
2048,1216,832,832,5,5,3,3,77,74,1.0,1,336,0,1,1,8480,118500
2338,1477,877,861,7,7,3,3,96,74,2.5,1,216,1,1,1,6292,145000
2484,1320,1320,1164,5,6,3,3,58,58,2.0,2,564,2,1,1,11777,164500
2081,1392,703,689,7,5,4,4,17,17,2.0,2,540,0,1,1,3604,146000
2845,1795,1050,1050,5,5,3,3,70,70,2.0,1,352,0,1,1,12150,131500
2573,1429,1429,1144,6,6,3,4,64,37,1.5,2,572,2,1,1,14585,181900
4084,2042,2042,2042,8,5,5,5,16,15,2.5,3,1390,1,1,1,12704,253293
1632,816,816,816,6,5,3,3,34,34,2.0,0,0,0,1,0,11841,118500
4012,2775,1521,1237,10,9,5,4,131,24,3.5,2,880,1,1,1,13500,325000
2457,1573,989,884,4,7,3,4,89,29,1.0,1,240,0,1,1,6120,133000
3896,2028,2028,1868,8,5,4,4,19,18,3.0,3,880,2,1,1,11443,369900
1654,838,838,816,6,7,3,2,106,24,2.0,1,275,0,1,1,10267,130000
1700,860,860,840,5,6,3,3,42,42,2.0,2,528,0,1,1,8740,137000
2910,1473,1473,1437,5,8,3,5,56,21,3.0,1,452,2,1,1,25095,143000
1521,935,779,742,5,6,3,3,94,64,1.0,1,308,0,1,1,9100,79500
2352,1582,770,770,7,5,4,4,20,20,2.5,2,520,0,1,1,8320,185900
4018,2296,1728,1722,10,5,5,5,16,16,3.5,3,842,1,1,1,13478,451950
1632,816,816,816,5,8,3,3,42,21,2.0,2,816,0,1,1,6600,138000
1696,848,848,848,6,5,4,4,21,21,2.0,2,420,0,1,1,4435,140000
1848,924,924,924,5,6,3,3,49,49,1.0,1,280,0,1,1,7990,110000
3640,1826,1826,1814,8,5,4,4,19,18,3.0,3,758,1,1,1,11302,319000
2052,1368,684,684,6,7,3,3,114,31,1.0,1,216,0,1,1,3600,114504
2660,1402,1402,1258,7,5,4,4,18,17,2.0,3,648,1,1,1,3922,194201
3077,1647,1647,1430,5,6,3,4,47,47,3.0,2,621,1,1,1,12984,217500
2272,1556,716,716,6,6,3,3,44,44,3.5,2,452,1,1,1,1950,151000
2962,1904,1058,1058,8,5,4,5,19,19,3.5,2,736,1,1,1,10927,275000
2155,1375,780,780,6,6,3,4,87,74,1.5,1,544,1,1,1,9000,141000
2823,1915,927,908,8,5,4,4,32,32,3.5,2,506,1,1,1,10041,220000
1800,1200,600,600,7,5,4,4,20,19,2.5,2,480,0,1,1,3182,151000
2988,1494,1494,1494,7,5,4,4,22,22,3.0,2,530,1,1,1,12803,221000
2754,1986,1186,768,7,6,3,3,59,34,2.5,2,486,3,1,1,13600,205000
2080,1040,1040,1040,5,5,3,4,28,28,2.0,2,576,0,1,1,12464,152000
2904,2008,1112,896,5,8,3,5,76,22,4.0,1,230,0,1,1,7800,225000
4159,3194,1940,965,8,6,3,3,90,26,2.5,2,380,2,1,1,12168,359100
2058,1029,1029,1029,4,5,3,3,63,63,2.0,1,261,0,1,1,7943,118500
3593,2153,1476,1440,9,5,4,5,24,24,3.5,3,736,2,1,1,11050,313000
2064,1032,1032,1032,6,6,3,3,46,46,2.5,2,564,1,1,1,10395,148000
3171,1872,1299,1299,8,5,4,5,23,23,3.5,2,531,1,1,1,11885,261500
2240,1120,1120,1120,5,5,3,3,17,17,1.0,0,0,0,1,0,8402,147000
1260,630,630,630,4,6,3,3,52,52,2.0,0,0,0,1,0,1491,75500
1990,1054,1054,936,6,7,3,4,61,61,2.0,2,480,0,1,1,8800,137500
2292,1509,807,783,6,5,4,4,22,21,3.5,2,393,1,1,1,7861,183200
1664,832,832,832,6,6,3,4,70,70,1.0,2,528,0,1,1,7227,105500
3650,1828,1828,1822,9,5,5,4,17,17,2.0,3,774,1,1,1,11694,314813
3744,2262,1482,1482,8,5,4,4,21,21,3.5,3,749,2,1,1,12244,305000
1728,864,864,864,3,3,3,3,110,74,2.0,0,0,0,1,0,8248,67000
4136,2614,1548,1522,6,7,3,3,50,27,2.5,2,624,1,1,1,10800,240000
1960,980,980,980,5,6,3,3,47,47,1.0,2,484,0,1,1,7064,135000
2268,1512,756,756,6,5,4,4,24,24,2.5,2,440,1,1,1,2117,168500
2522,1790,1012,732,6,5,3,3,52,52,3.0,2,484,1,1,1,10400,165150
2232,1116,1116,1116,6,6,3,3,62,62,1.5,2,440,0,1,1,10000,160000
2400,1422,1422,978,5,5,3,3,64,46,1.0,1,286,1,1,1,12342,139900
2676,1520,1520,1156,6,6,3,3,69,52,2.0,1,364,2,1,1,9600,153000
3120,2080,1040,1040,5,5,3,2,55,55,2.5,2,504,2,1,1,11606,135000
2598,1350,1350,1248,6,5,3,3,60,60,2.5,2,520,0,1,1,9020,168500
2386,1750,1089,636,5,6,3,5,144,33,1.0,1,240,0,1,1,9000,124000
3108,1554,1554,1554,8,5,4,4,18,18,2.0,2,627,1,1,1,4590,209500
2797,1411,1411,1386,7,5,3,3,47,47,2.0,2,544,1,1,1,11900,82500
2112,1056,1056,1056,5,7,3,3,70,19,1.5,1,260,0,1,1,9250,139400
2112,1056,1056,1056,6,5,3,3,44,44,2.0,2,576,0,1,1,6979,144000
4320,3395,1440,1440,6,7,2,2,110,29,2.0,0,0,0,1,0,10896,200000
1064,800,800,264,2,3,2,2,88,74,1.0,0,0,1,1,0,6120,60000
2198,1387,811,811,5,4,3,4,70,70,2.0,1,256,0,1,1,6000,93000
1592,796,796,796,5,7,3,3,114,74,1.0,0,0,0,1,0,8777,85000
3087,1567,1567,1520,8,5,4,5,18,18,3.0,3,648,1,1,1,3982,264561
3036,1518,1518,1518,8,5,5,5,21,20,1.5,2,588,1,1,1,12677,274000
2986,1929,1057,1057,7,5,4,4,23,23,3.5,2,650,1,1,1,7050,226000
